instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,INECODE
NSE_EQ|INE076C01018,9300,IFBAGRO,IFB AGRO INDUSTRIES LTD,873.35,,,0.05,1,EQUITY,,NSE_EQ,INE076C01018
NSE_EQ|INE0GFE01026,5353,EXXARO,EXXARO TILES LIMITED,8.27,,,0.01,1,EQUITY,,NSE_EQ,INE0GFE01026
NSE_EQ|INE301A01014,2859,RAYMOND,RAYMOND LTD,656.95,,,0.05,1,EQUITY,,NSE_EQ,INE301A01014
NSE_EQ|INE646L01027,11195,INDIGO,INTERGLOBE AVIATION LTD,5788.5,,,0.5,1,EQUITY,,NSE_EQ,INE646L01027
NSE_EQ|INE0V6F01027,25844,HYUNDAI,HYUNDAI MOTOR INDIA LTD,2181,,,0.1,1,EQUITY,,NSE_EQ,INE0V6F01027
NSE_EQ|INE893I01013,18110,VASCONEQ,VASCON ENGINEERS LTD,53.16,,,0.01,1,EQUITY,,NSE_EQ,INE893I01013
NSE_EQ|INE050001010,10297,PPL,PRAKASH PIPES LIMITED,366.9,,,0.05,1,EQUITY,,NSE_EQ,INE050001010
NSE_EQ|INE558R01013,7429,HECPROJECT,HEC INFRA PROJECTS LTD,165.85,,,0.01,1,EQUITY,,NSE_EQ,INE558R01013
NSE_EQ|INE345B01019,29016,CEREBRAINT,CEREBRA INT TECH LTD,8.2,,,0.01,1,EQUITY,,NSE_EQ,INE345B01019
NSE_EQ|INE495A01022,781,DALMIASUG,DALMIA BHARAT SUG IN LTD,370.95,,,0.05,1,EQUITY,,NSE_EQ,INE495A01022
NSE_EQ|INE010B01027,7929,ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,949.05,,,0.05,1,EQUITY,,NSE_EQ,INE010B01027
NSE_EQ|INE102D01028,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,1266.5,,,0.1,1,EQUITY,,NSE_EQ,INE102D01028
NSE_EQ|INF204KB15I9,11439,BANKBEES,NIP IND ETF BANK BEES,573.73,,,0.01,1,EQUITY,,NSE_EQ,INF204KB15I9
